# syslog export: blkmap_021
# origin: mod_proc/segfault-cache
# integrity: partial

[SCANBLOCK 1]
pattern: 11110000111100001111000011110000
vector: 010101010101010101010101010101
entropy: 8753073050

[SCANBLOCK 2]
pattern: 101010101010101010101010101010
vector: 010101010101010101010101010101
entropy: 5547667714

[SCANBLOCK 3]
pattern: 11001100110011001100110011001100
vector: 00000000111111110000000011111111
entropy: 5257880989

[SCANBLOCK 4]
pattern: 111111111111111111111111111111
vector: 00001111000011110000111100001111
entropy: 8371472809

[SCANBLOCK 5]
pattern: 11111111000000001111111100000000
vector: 000000000000000000000000000000
entropy: 9165191776

[SCANBLOCK 6]
pattern: 11001100110011001100110011001100
vector: 00001111000011110000111100001111
entropy: 6591827866

[SCANBLOCK 7]
pattern: 101010101010101010101010101010
vector: 00000000111111110000000011111111
entropy: 3889110079

[SCANBLOCK 8]
pattern: 11001100110011001100110011001100
vector: 00110011001100110011001100110011
entropy: 6893117336

[SCANBLOCK 9]
pattern: 11001100110011001100110011001100
vector: 000000000000000000000000000000
entropy: 1170696733

[SCANBLOCK 10]
pattern: 11111111000000001111111100000000
vector: 000000000000000000000000000000
entropy: 2269092171

[SCANBLOCK 11]
pattern: 11001100110011001100110011001100
vector: 000000000000000000000000000000
entropy: 3164523781

[SCANBLOCK 12]
pattern: 11110000111100001111000011110000
vector: 00001111000011110000111100001111
entropy: 1192268664

[SCANBLOCK 13]
pattern: 11111111000000001111111100000000
vector: 000000000000000000000000000000
entropy: 7906955283

[SCANBLOCK 14]
pattern: 11001100110011001100110011001100
vector: 010101010101010101010101010101
entropy: 7191464811

[SCANBLOCK 15]
pattern: 111111111111111111111111111111
vector: 00110011001100110011001100110011
entropy: 8484089360

[SCANBLOCK 16]
pattern: 11110000111100001111000011110000
vector: 00110011001100110011001100110011
entropy: 1374664592

[SCANBLOCK 17]
pattern: 111111111111111111111111111111
vector: 00001111000011110000111100001111
entropy: 4471880319

[SCANBLOCK 18]
pattern: 111111111111111111111111111111
vector: 00000000111111110000000011111111
entropy: 7377606922

[SCANBLOCK 19]
pattern: 11111111000000001111111100000000
vector: 010101010101010101010101010101
entropy: 2782967576

[SCANBLOCK 20]
pattern: 101010101010101010101010101010
vector: 00000000111111110000000011111111
entropy: 6558292968

[SCANBLOCK 21]
pattern: 11001100110011001100110011001100
vector: 000000000000000000000000000000
entropy: 2173310988

[SCANBLOCK 22]
pattern: 111111111111111111111111111111
vector: 010101010101010101010101010101
entropy: 4313689983

[SCANBLOCK 23]
pattern: 11001100110011001100110011001100
vector: 010101010101010101010101010101
entropy: 3808627189

[SCANBLOCK 24]
pattern: 11001100110011001100110011001100
vector: 00000000111111110000000011111111
entropy: 9909216078

[SCANBLOCK 25]
pattern: 111111111111111111111111111111
vector: 000000000000000000000000000000
entropy: 9016738190

[SCANBLOCK 26]
pattern: 11111111000000001111111100000000
vector: 00110011001100110011001100110011
entropy: 9168083227

[SCANBLOCK 27]
pattern: 11111111000000001111111100000000
vector: 010101010101010101010101010101
entropy: 5304241653

[SCANBLOCK 28]
pattern: 111111111111111111111111111111
vector: 010101010101010101010101010101
entropy: 9005809339

[SCANBLOCK 29]
pattern: 11001100110011001100110011001100
vector: 00110011001100110011001100110011
entropy: 1729348902

[SCANBLOCK 30]
pattern: 101010101010101010101010101010
vector: 010101010101010101010101010101
entropy: 8302823553

[SCANBLOCK 31]
pattern: 11111111000000001111111100000000
vector: 00001111000011110000111100001111
entropy: 6669587788

[SCANBLOCK 32]
pattern: 111111111111111111111111111111
vector: 00001111000011110000111100001111
entropy: 8691385859

[SCANBLOCK 33]
pattern: 11001100110011001100110011001100
vector: 00000000111111110000000011111111
entropy: 1202270905

[SCANBLOCK 34]
pattern: 11110000111100001111000011110000
vector: 000000000000000000000000000000
entropy: 2946313525

[SCANBLOCK 35]
pattern: 111111111111111111111111111111
vector: 00001111000011110000111100001111
entropy: 7897506540

[SCANBLOCK 36]
pattern: 111111111111111111111111111111
vector: 00001111000011110000111100001111
entropy: 5019896529

[SCANBLOCK 37]
pattern: 11110000111100001111000011110000
vector: 00000000111111110000000011111111
entropy: 4232178257

[SCANBLOCK 38]
pattern: 101010101010101010101010101010
vector: 00000000111111110000000011111111
entropy: 2274802110

[SCANBLOCK 39]
pattern: 101010101010101010101010101010
vector: 00000000111111110000000011111111
entropy: 4732751698

[SCANBLOCK 40]
pattern: 111111111111111111111111111111
vector: 000000000000000000000000000000
entropy: 7320985489

[SCANBLOCK 41]
pattern: 101010101010101010101010101010
vector: 010101010101010101010101010101
entropy: 2799487539

[SCANBLOCK 42]
pattern: 11110000111100001111000011110000
vector: 00110011001100110011001100110011
entropy: 1229943935

[SCANBLOCK 43]
pattern: 111111111111111111111111111111
vector: 00000000111111110000000011111111
entropy: 3652968027

[SCANBLOCK 44]
pattern: 11111111000000001111111100000000
